variant_id,product_id,product_sku,product_name,variant_sku,variant_name,msrp,sale_price
108,4848,AG25TR,11.5’ AG25T,AG25TR-09D,Black,,
1249,4848,AG25TR,11.5’ AG25T,AG25TR-09-DWV,Black (DWV),,
107,4848,AG25TR,11.5’ AG25T,AG25TR-00D,Bronze,,
1248,4848,AG25TR,11.5’ AG25T,AG25TR-00-DWV,Bronze (DWV),,
112,4850,AG25TR10,10’ AG25T,AG25TR10-09D,Black,,
1253,4850,AG25TR10,10’ AG25T,AG25TR10-09-DWV,Black (DWV),,
111,4850,AG25TR10,10’ AG25T,AG25TR10-00D,Bronze,,
1252,4850,AG25TR10,10’ AG25T,AG25TR10-00-DWV,Bronze (DWV),,
110,4849,AG25TSQR,10’ AG25TSQ,AG25TSQR-09,Black,,
1251,4849,AG25TSQR,10’ AG25TSQ,AG25TSQR-09-SWV,Black (SWV),,
109,4849,AG25TSQR,10’ AG25TSQ,AG25TSQR-00,Bronze,,
1250,4849,AG25TSQR,10’ AG25TSQ,AG25TSQR-00-SWV,Bronze (SWV),,
105,4847,AKZP,11’ AKZ PLUS,AKZP-02D,Anthracite,,
1246,4847,AKZP,11’ AKZ PLUS,AKZP-02-DWV,Anthracite (DWV),,
106,4847,AKZP,11’ AKZ PLUS,AKZP-09D,Black,,
1247,4847,AKZP,11’ AKZ PLUS,AKZP-09-DWV,Black (DWV),,
104,4847,AKZP,11’ AKZ PLUS,AKZP-00D,Bronze,,
1245,4847,AKZP,11’ AKZ PLUS,AKZP-00-DWV,Bronze (DWV),,
95,4844,AKZP13,13’ AKZ PLUS,AKZP13-02D,Anthracite,,
1234,4844,AKZP13,13’ AKZ PLUS,AKZP13-02-DWV,Anthracite (DWV),,
96,4844,AKZP13,13’ AKZ PLUS,AKZP13-09D,Black,,
1235,4844,AKZP13,13’ AKZ PLUS,AKZP13-09-DWV,Black (DWV),,
94,4844,AKZP13,13’ AKZ PLUS,AKZP13-00D,Bronze,,
1233,4844,AKZP13,13’ AKZ PLUS,AKZP13-00-DWV,Bronze (DWV),,
92,4844,AKZP13,13’ AKZ PLUS,AKZP13-SSD,Silver Shadow,,
1236,4844,AKZP13,13’ AKZ PLUS,AKZP13-SS-DWV,Silver Shadow (DWV),,
93,4844,AKZP13,13’ AKZ PLUS,AKZP13-WOD,Weathered Oak,,
1237,4844,AKZP13,13’ AKZ PLUS,AKZP13-WO-DWV,Weathered Oak (DWV),,
89,4842,AKZP13LX,13’ STARLUX AKZ PLUS,AKZP13LX-09D,Black,,
1230,4842,AKZP13LX,13’ STARLUX AKZ PLUS,AKZP13LX-09-DWV,Black (DWV),,
88,4842,AKZP13LX,13’ STARLUX AKZ PLUS,AKZP13LX-00D,Bronze,,
1229,4842,AKZP13LX,13’ STARLUX AKZ PLUS,AKZP13LX-00-DWV,Bronze (DWV),,
100,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-02,Anthracite,,
1239,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-02-SWV,Anthracite (SWV),,
101,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-09,Black,,
1240,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-09-SWV,Black (SWV),,
99,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-00,Bronze,,
1238,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-00-SWV,Bronze (SWV),,
97,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-SS,Silver Shadow,,
1241,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-SS-SWV,Silver Shadow (SWV),,
98,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-WO,Weathered Oak,,
1242,4845,AKZPRT,10’x13’ AKZ PLUS,AKZPRT-WO-SWV,Weathered Oak (SWV),,
91,4843,AKZPRTLX,10’x13’ STARLUX AKZ PLUS,AKZPRLX-09,Black,,
1232,4843,AKZPRTLX,10’x13’ STARLUX AKZ PLUS,AKZPRTLX-09-SWV,Black (SWV),,
90,4843,AKZPRTLX,10’x13’ STARLUX AKZ PLUS,AKZPRTLX-00,Bronze,,
1231,4843,AKZPRTLX,10’x13’ STARLUX AKZ PLUS,AKZPRTLX-00-SWV,Bronze (SWV),,
103,4846,AKZPSQ11,11.5’ AKZ PLUS,AKZPSQ11-09,Black,,
1244,4846,AKZPSQ11,11.5’ AKZ PLUS,AKZPSQ11-09-SWV,Black (SWV),,
102,4846,AKZPSQ11,11.5’ AKZ PLUS,AKZPSQ11-00,Bronze,,
1243,4846,AKZPSQ11,11.5’ AKZ PLUS,AKZPSQ11-00-SWV,Bronze (SWV),,
165,4870,BA150,Commercial,BA1509,Black,,
164,4870,BA150,Commercial,BA1500,Bronze,,
186,4877,BA50,Art Deco,BA509,Black,,
185,4877,BA50,Art Deco,BA500,Bronze,,
205,4885,BASE-13-_,AKZ13 Base,BASE-13-02,Anthracite,,
206,4885,BASE-13-_,AKZ13 Base,BASE-13-09,Black,,
204,4885,BASE-13-_,AKZ13 Base,BASE-13-00,Bronze,,
