product_id,size_label,manufacturer,sku,product_name
5616,6.5',Frankford Umbrellas,639SS,Shade Star Beach Umbrella
2301,7.5',Frankford Umbrellas,844FA-01,The Catalina
5555,6.5',Frankford Umbrellas,844FWB-01,The Avalon
5555,7.5',Frankford Umbrellas,844FWB-01,The Avalon
2302,7.5',Frankford Umbrellas,845A,The Laurel
2293,7.5',Frankford Umbrellas,845CAM,The Greenwich
2293,9',Frankford Umbrellas,845CAM,The Greenwich
2293,11',Frankford Umbrellas,845CAM,The Greenwich
2293,6.5'x6.5',Frankford Umbrellas,845CAM,The Greenwich
2293,7.5'x7.5',Frankford Umbrellas,845CAM,The Greenwich
2294,7.5',Frankford Umbrellas,845FM,The Monterey Pulley Lift
2294,9',Frankford Umbrellas,845FM,The Monterey Pulley Lift
2294,11',Frankford Umbrellas,845FM,The Monterey Pulley Lift
2294,6.5'x6.5',Frankford Umbrellas,845FM,The Monterey Pulley Lift
2294,7.5'x7.5',Frankford Umbrellas,845FM,The Monterey Pulley Lift
2296,7.5',Frankford Umbrellas,845FMA,The Monterey Crank Lift Auto-Tilting
2296,9',Frankford Umbrellas,845FMA,The Monterey Crank Lift Auto-Tilting
2296,11',Frankford Umbrellas,845FMA,The Monterey Crank Lift Auto-Tilting
2296,6.5'x6.5',Frankford Umbrellas,845FMA,The Monterey Crank Lift Auto-Tilting
2296,7.5'x7.5',Frankford Umbrellas,845FMA,The Monterey Crank Lift Auto-Tilting
2296,8'x10',Frankford Umbrellas,845FMA,The Monterey Crank Lift Auto-Tilting
2295,7.5',Frankford Umbrellas,845FMC,The Monterey Crank Lift Non-Tilting
2295,9',Frankford Umbrellas,845FMC,The Monterey Crank Lift Non-Tilting
2295,11',Frankford Umbrellas,845FMC,The Monterey Crank Lift Non-Tilting
2295,6.5'x6.5',Frankford Umbrellas,845FMC,The Monterey Crank Lift Non-Tilting
2295,7.5'x7.5',Frankford Umbrellas,845FMC,The Monterey Crank Lift Non-Tilting
2295,8.5'x11',Frankford Umbrellas,845FMC,The Monterey Crank Lift Non-Tilting
5556,6.5',Frankford Umbrellas,845W,The Emerald Coast
5556,7.5',Frankford Umbrellas,845W,The Emerald Coast
2299,11',Frankford Umbrellas,868ARU,The Aurora Aluminum
2299,13',Frankford Umbrellas,868ARU,The Aurora Aluminum
2299,8.5'x11',Frankford Umbrellas,868ARU,The Aurora Aluminum
2299,10'x10',Frankford Umbrellas,868ARU,The Aurora Aluminum
5561,11',Frankford Umbrellas,868ARU-F,The Aurora Fiberglass
5561,13',Frankford Umbrellas,868ARU-F,The Aurora Fiberglass
5561,8.5'x11',Frankford Umbrellas,868ARU-F,The Aurora Fiberglass
5561,10'x10',Frankford Umbrellas,868ARU-F,The Aurora Fiberglass
2300,11',Frankford Umbrellas,868ECU,The Eclipse
2300,13',Frankford Umbrellas,868ECU,The Eclipse
2300,10'x10',Frankford Umbrellas,868ECU,The Eclipse
2300,10'x13',Frankford Umbrellas,868ECU,The Eclipse
2297,13',Frankford Umbrellas,880CAM,The Giant Greenwich
2297,8.5'x11',Frankford Umbrellas,880CAM,The Giant Greenwich
2297,10'x10',Frankford Umbrellas,880CAM,The Giant Greenwich
2298,13',Frankford Umbrellas,880FM,The Giant Monterey
2298,8.5'x11',Frankford Umbrellas,880FM,The Giant Monterey
2298,10'x10',Frankford Umbrellas,880FM,The Giant Monterey
5557,10'x10',Frankford Umbrellas,883MLA-SQ,Marella Resort Cabana
5553,16',Frankford Umbrellas,896NGU,The Nova
5553,13'x13',Frankford Umbrellas,896NGU,The Nova
5615,6',Frankford Umbrellas,BH-UMBRELLA,Beach Haven Folding Beach Umbrella
3395,7.5',Galtech International,121,Cafe Wood 7.5'
3396,9',Galtech International,131,All Purpose Wood Umbrella 9'
3397,9',Galtech International,132,Double Pulley Wood Umbrella 9'
3398,9',Galtech International,136,Commercial Wood Umbrella 9'
3399,11',Galtech International,183,Quad Pulley Wood Umbrella 11'
3403,9',Galtech International,532TK,Designer Teak Umbrella 9'
3404,9',Galtech International,537TK,Rotational Tilt Teak Umbrella 9'
3405,11',Galtech International,587TK,Crank Lift Teak Umbrella 11'
3380,9',Galtech International,636,Manual Tilt Umbrella 9'
3391,6',Galtech International,715,Commercial Use Umbrella 6'
3384,7.5',Galtech International,722,Deluxe Commercial Use 7.5'
3392,7.5',Galtech International,725,Commercial Use 7.5'
3375,7.5',Galtech International,727,Deluxe Auto Tilt 7.5'
3386,9',Galtech International,732,Deluxe Commercial Use Umbrella 9'
3393,9',Galtech International,735,Commercial Use Umbrella 9'
3381,9',Galtech International,736,Standard Auto Tilt Umbrella 9'
3376,9',Galtech International,737,Deluxe Auto Tilt Umbrella 9'
3385,6'x6',Galtech International,762,Deluxe Commercial Use Square Umbrella 6'x6'
3394,3.5'x7',Galtech International,772,Half Wall 3.5x7'
3377,8'x11',Galtech International,779,Deluxe Auto Tilt Oval Umbrella 8'x11'
3387,11',Galtech International,781,Deluxe Commercial Use Flat Profile Umbrella 11'
3388,8'x8',Galtech International,782,Deluxe Commercial Use Square Umbrella 8'x8'
3378,11',Galtech International,789,Deluxe Auto Tilt Umbrella 11'
3389,13',Galtech International,791,Deluxe Commercial Use Umbrella 13'
3390,10'x10',Galtech International,792,Deluxe Commercial Use Umbrella 10'x10'
3379,10'x10',Galtech International,799,Deluxe Auto Tilt Umbrella 10'x10'
3400,11',Galtech International,887,Cantilever Umbrella 11'
3402,10'x10',Galtech International,897,Cantilever Umbrella 10'x10'
3401,13',Galtech International,899,Cantilever Umbrella 13'
3382,9',Galtech International,936,Auto Tilt with LED Lights Umbrella 9'
3383,11',Galtech International,986,Auto Tilt with LED Lights Umbrella 11'
3502,7.5',Telescope Casual,TC-commercial-market-um-7-1-2-powdercoat-aluminum,Powdercoat Aluminum Umbrella
3503,9',Telescope Casual,TC-commercial-market-um-9-powdercoat-aluminum-umb,Powdercoat Aluminum Umbrella
3904,7.5',Telescope Casual,TC-value-market-umbrell-7-1-2-powdercoat-aluminum,Powdercoat Aluminum Frame w/ Autotilt
3905,9',Telescope Casual,TC-value-market-umbrell-9-powdercoat-aluminum-fra,Powdercoat Aluminum Frame w/ Autotilt
4848,11.5',Treasure Garden,AG25TR,AG25T 11.5'
4850,10',Treasure Garden,AG25TR10,AG25T 10'
4849,10',Treasure Garden,AG25TSQR,AG25TSQ 10'
4847,11',Treasure Garden,AKZP,AKZ PLUS 11'
4844,13',Treasure Garden,AKZP13,AKZ PLUS 13'
4842,13',Treasure Garden,AKZP13LX,STARLUX AKZ PLUS 13'
4845,10'x13',Treasure Garden,AKZPRT,AKZ PLUS 10'x13'
4843,10'x13',Treasure Garden,AKZPRTLX,STARLUX AKZ PLUS 10'x13'
4846,11.5',Treasure Garden,AKZPSQ11,AKZ PLUS 11.5'
4852,10',Treasure Garden,ET310,Easy Track®
4851,10'x13',Treasure Garden,ET3RT,EASY TRACK® 10'x13'
4858,9',Treasure Garden,UM800,COLLAR TILT 9'
4856,9',Treasure Garden,UM800LX,STARLUX COLLAR TILT 9'
4857,11',Treasure Garden,UM801,COLLAR TILT 11'
4869,9',Treasure Garden,UM809-1H,QUAD PULLEY LIFT 9'
4863,9',Treasure Garden,UM810,AUTO TILT 9'
